CIUDAD,PROVINCIA,REGIÓN,CAMPO 1,VÍA POSTU.,CARRERA,SEXO,SEDE,N° LISTA,PROMEDIOPDT,PTJE.PONDE,IND.BECA,NOTA E.M,ESTADOMATRÍCULA,FECHA  PAGO DB,FECHA MATRÍCULA,AÑO,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,ADMISIÓN ESPECIAL,(2654)GEOGRAFÍA,FEMENINO,(1) VALPARAÍSO,,,,,500,MATRICULADO,02/03/2021,02/03/2021,2021,,,,,,
VIÑA DEL MAR,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,ADMISIÓN ESPECIAL,(2660)PED.EN BIOLOGÍA Y CIENCIAS,MASCULINO,(1) VALPARAÍSO,,,,,500,MATRICULADO,03/03/2021,03/03/2021,2021,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,ADMISIÓN ESPECIAL,(2660)PED.EN BIOLOGÍA Y CIENCIAS,MASCULINO,(1) VALPARAÍSO,,,,BGU,600,MATRICULADO,01/03/2021,01/03/2021,2021,,,,,,
QUILPUÉ,MARGA MARGA,VALPARAÍSO,VALPARAÍSO,ADMISIÓN ESPECIAL,(2660)PED.EN BIOLOGÍA Y CIENCIAS,FEMENINO,(1) VALPARAÍSO,,,,,600,MATRICULADO,10/03/2021,10/03/2021,2021,,,,,,
VIÑA DEL MAR,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,ADMISIÓN ESPECIAL,(2660)PED.EN BIOLOGÍA Y CIENCIAS,MASCULINO,(1) VALPARAÍSO,,,,,600,MATRICULADO,01/03/2021,01/03/2021,2021,,,,,,
SANTIAGO,SANTIAGO,METROPOLITANA,METROPOLITANA,ADMISIÓN ESPECIAL,(2670)PED.EN QUÍMICA Y CIENCIAS,MASCULINO,(1) VALPARAÍSO,,,,,500,MATRICULADO,16/03/2021,16/03/2021,2021,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,ADMISIÓN ESPECIAL,(2673)PED.EN MATEMÁTICA VALPARAÍSO,FEMENINO,(1) VALPARAÍSO,,,,BGU,500,MATRICULADO,02/03/2021,02/03/2021,2021,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2654)GEOGRAFÍA,FEMENINO,(1) VALPARAÍSO,9,478,476.00,BGU,543,MATRICULADO,01/03/2021,01/03/2021,2021,,,,,,
LOS ANDES,LOS ANDES,VALPARAÍSO,VALPARAÍSO,PAES,(2654)GEOGRAFÍA,MASCULINO,(1) VALPARAÍSO,1,619,581.80,,503,MATRICULADO,03/03/2021,03/03/2021,2021,,,,,,
VILLA ALEMANA,MARGA MARGA,VALPARAÍSO,VALPARAÍSO,PAES,(2654)GEOGRAFÍA,MASCULINO,(1) VALPARAÍSO,8,478,490.10,,555,MATRICULADO,04/03/2021,04/03/2021,2021,,,,,,
IQUIQUE,IQUIQUE,TARAPACÁ,OTRA REGIÓN,PAES,(2654)GEOGRAFÍA,MASCULINO,(1) VALPARAÍSO,11,472,449.40,,513,MATRICULADO,02/03/2021,02/03/2021,2021,,,,,,
CALAMA,EL LOA,ANTOFAGASTA,OTRA REGIÓN,PAES,(2654)GEOGRAFÍA,MASCULINO,(1) VALPARAÍSO,4,523,540.70,,550,MATRICULADO,02/03/2021,02/03/2021,2021,,,,,,
QUILPUÉ,MARGA MARGA,VALPARAÍSO,VALPARAÍSO,PAES,(2654)GEOGRAFÍA,FEMENINO,(1) VALPARAÍSO,5,475,520.30,,533,MATRICULADO,02/03/2021,02/03/2021,2021,,,,,,
LOS ANDES,LOS ANDES,VALPARAÍSO,VALPARAÍSO,PAES,(2660)PED.EN BIOLOGÍA Y CIENCIAS,FEMENINO,(1) VALPARAÍSO,5,398,583.20,BGU,668,MATRICULADO,03/03/2021,03/03/2021,2021,,,,,,
MELIPILLA,MELIPILLA,METROPOLITANA,METROPOLITANA,PAES,(2660)PED.EN BIOLOGÍA Y CIENCIAS,FEMENINO,(1) VALPARAÍSO,8,409,511.55,,635,MATRICULADO,03/03/2021,03/03/2021,2021,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2660)PED.EN BIOLOGÍA Y CIENCIAS,FEMENINO,(1) VALPARAÍSO,12,447,535.80,BGU,610,MATRICULADO,11/03/2021,11/03/2021,2021,,,,,,
SAN ANTONIO,SAN ANTONIO,VALPARAÍSO,VALPARAÍSO,PAES,(2660)PED.EN BIOLOGÍA Y CIENCIAS,FEMENINO,(1) VALPARAÍSO,9,537,499.50,,533,MATRICULADO,02/03/2021,02/03/2021,2021,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2660)PED.EN BIOLOGÍA Y CIENCIAS,MASCULINO,(1) VALPARAÍSO,7,584,534.15,,520,MATRICULADO,01/03/2021,01/03/2021,2021,,,,,,
ARICA,ARICA,ARICA Y PARINACOTA,OTRA REGIÓN,PAES,(2660)PED.EN BIOLOGÍA Y CIENCIAS,FEMENINO,(1) VALPARAÍSO,4,534,589.20,BGU,608,MATRICULADO,02/03/2021,02/03/2021,2021,,,,,,
VILLARRICA,CAUTÍN,ARAUCANÍA,OTRA REGIÓN,PAES,(2666)PED.EN FÍSICA,MASCULINO,(1) VALPARAÍSO,1,658,640.90,,595,MATRICULADO,02/03/2021,02/03/2021,2021,,,,,,
EL MELÓN,QUILLOTA,VALPARAÍSO,VALPARAÍSO,PAES,(2670)PED.EN QUÍMICA Y CIENCIAS,MASCULINO,(1) VALPARAÍSO,1,474,571.05,BGU,600,MATRICULADO,01/03/2021,01/03/2021,2021,,,,,,
SAN ANTONIO,SAN ANTONIO,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,FEMENINO,(1) VALPARAÍSO,2,573,680.40,BGU,640,MATRICULADO,01/03/2021,01/03/2021,2021,,,,,,
LA CALERA,QUILLOTA,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,FEMENINO,(1) VALPARAÍSO,1,589,696.70,BEG,663,MATRICULADO,02/03/2021,02/03/2021,2021,,,,,,
QUILPUÉ,MARGA MARGA,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,FEMENINO,(1) VALPARAÍSO,9,565,579.90,BGU,583,MATRICULADO,01/03/2021,01/03/2021,2021,,,,,,
VILLA ALEMANA,MARGA MARGA,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,20,522,465.60,,510,MATRICULADO,01/03/2021,01/03/2021,2021,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,16,514,528.20,BGU,565,MATRICULADO,01/03/2021,01/03/2021,2021,,,,,,
SANTIAGO,SANTIAGO,METROPOLITANA,METROPOLITANA,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,3,686,678.70,BVP,630,MATRICULADO,02/03/2021,02/03/2021,2021,,,,,,
VILLA ALEMANA,MARGA MARGA,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,FEMENINO,(1) VALPARAÍSO,7,497,633.80,BGU,638,MATRICULADO,01/03/2021,01/03/2021,2021,,,,,,
VILLA ALEMANA,MARGA MARGA,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,FEMENINO,(1) VALPARAÍSO,17,539,516.80,,538,MATRICULADO,03/03/2021,03/03/2021,2021,,,,,,
SAN ANTONIO,SAN ANTONIO,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,21,510,406.20,,458,MATRICULADO,02/03/2021,02/03/2021,2021,,,,,,
RENGO,CACHAPOAL,O´HIGGINS,O´HIGGINS,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,5,517,667.50,BVG,650,MATRICULADO,01/03/2021,01/03/2021,2021,,,,,,
VIÑA DEL MAR,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,FEMENINO,(1) VALPARAÍSO,15,535,530.90,BGU,530,MATRICULADO,02/03/2021,02/03/2021,2021,,,,,,
VILLA ALEMANA,MARGA MARGA,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,11,578,553.20,BGU,540,MATRICULADO,02/03/2021,02/03/2021,2021,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,FEMENINO,(1) VALPARAÍSO,6,668,655.40,,605,MATRICULADO,03/03/2021,03/03/2021,2021,,,,,,
QUILLOTA,QUILLOTA,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,14,650,532.10,BVP,513,MATRICULADO,01/03/2021,01/03/2021,2021,,,,,,
SAN ANTONIO,SAN ANTONIO,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,12,496,547.80,BGU,563,MATRICULADO,02/03/2021,02/03/2021,2021,,,,,,
VILLA ALEMANA,MARGA MARGA,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,19,496,487.50,BGU,518,MATRICULADO,01/03/2021,01/03/2021,2021,,,,,,
VILLA ALEMANA,MARGA MARGA,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,4,608,668.90,,613,MATRICULADO,01/03/2021,01/03/2021,2021,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,18,552,506.20,,515,MATRICULADO,03/03/2021,03/03/2021,2021,,,,,,
CONCON,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,8,564,592.40,,573,MATRICULADO,01/03/2021,01/03/2021,2021,,,,,,
CONCON,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,ADMISIÓN ESPECIAL,(2654)GEOGRAFÍA,MASCULINO,(1) VALPARAÍSO,,,,,500,MATRICULADO,27/01/2022,28/01/2022,2022,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,ADMISIÓN ESPECIAL,(2660)PED.EN BIOLOGÍA Y CIENCIAS,FEMENINO,(1) VALPARAÍSO,,,,BGU,600,MATRICULADO,26/01/2022,26/01/2022,2022,,,,,,
VILLA ALEMANA,MARGA MARGA,VALPARAÍSO,VALPARAÍSO,ADMISIÓN ESPECIAL,(2670)PED.EN QUÍMICA Y CIENCIAS,FEMENINO,(1) VALPARAÍSO,,,,,600,MATRICULADO,27/01/2022,27/01/2022,2022,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,ADMISIÓN ESPECIAL,(2673)PED.EN MATEMÁTICA VALPARAÍSO,FEMENINO,(1) VALPARAÍSO,,,,BGU,600,MATRICULADO,25/01/2022,25/01/2022,2022,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,ADMISIÓN ESPECIAL,(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,,,,BGU,600,MATRICULADO,25/01/2022,25/01/2022,2022,,,,,,
SAN FELIPE,SAN FELIPE,VALPARAÍSO,VALPARAÍSO,ADMISIÓN ESPECIAL,(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,,,,BGU,600,MATRICULADO,14/01/2022,25/01/2022,2022,,,,,,
QUINTERO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,ADMISIÓN ESPECIAL,(2673)PED.EN MATEMÁTICA VALPARAÍSO,FEMENINO,(1) VALPARAÍSO,,,,BGU,600,MATRICULADO,04/01/2022,25/01/2022,2022,,,,,,
QUILLOTA,QUILLOTA,VALPARAÍSO,VALPARAÍSO,ADMISIÓN ESPECIAL,(2673)PED.EN MATEMÁTICA VALPARAÍSO,FEMENINO,(1) VALPARAÍSO,,,,BGU,600,MATRICULADO,27/01/2022,27/01/2022,2022,,,,,,
QUILPUÉ,MARGA MARGA,VALPARAÍSO,VALPARAÍSO,PAES,(2654)GEOGRAFÍA,MASCULINO,(1) VALPARAÍSO,1,517,571.90,BGU,573,MATRICULADO,25/01/2022,25/01/2022,2022,,,,,,
LA LIGUA,PETORCA,VALPARAÍSO,VALPARAÍSO,PAES,(2654)GEOGRAFÍA,MASCULINO,(1) VALPARAÍSO,10,450,474.10,BGU,520,MATRICULADO,25/01/2022,25/01/2022,2022,,,,,,
QUILPUÉ,MARGA MARGA,VALPARAÍSO,VALPARAÍSO,PAES,(2654)GEOGRAFÍA,FEMENINO,(1) VALPARAÍSO,7,467,501.40,,533,MATRICULADO,25/01/2022,25/01/2022,2022,,,,,,
VIÑA DEL MAR,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2654)GEOGRAFÍA,FEMENINO,(1) VALPARAÍSO,4,471,526.70,BGU,588,MATRICULADO,25/01/2022,25/01/2022,2022,,,,,,
SANTIAGO,SANTIAGO,METROPOLITANA,METROPOLITANA,PAES,(2654)GEOGRAFÍA,FEMENINO,(1) VALPARAÍSO,2,527,545.90,,563,MATRICULADO,25/01/2022,25/01/2022,2022,,,,,,
SANTIAGO,SANTIAGO,METROPOLITANA,METROPOLITANA,PAES,(2654)GEOGRAFÍA,MASCULINO,(1) VALPARAÍSO,8,552,498.70,,500,MATRICULADO,26/01/2022,26/01/2022,2022,,,,,,
VIÑA DEL MAR,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2654)GEOGRAFÍA,MASCULINO,(1) VALPARAÍSO,6,486,504.70,BGU,520,MATRICULADO,25/01/2022,25/01/2022,2022,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2654)GEOGRAFÍA,FEMENINO,(1) VALPARAÍSO,5,474,518.40,BGU,540,MATRICULADO,25/01/2022,25/01/2022,2022,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2654)GEOGRAFÍA,FEMENINO,(1) VALPARAÍSO,9,519,498.50,BGU,493,MATRICULADO,27/01/2022,27/01/2022,2022,,,,,,
PUNTA ARENAS,MAGALLANES,MAGALLANES,OTRA REGIÓN,PAES,(2660)PED.EN BIOLOGÍA Y CIENCIAS,MASCULINO,(1) VALPARAÍSO,2,626,646.30,,620,MATRICULADO,25/01/2022,25/01/2022,2022,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2660)PED.EN BIOLOGÍA Y CIENCIAS,FEMENINO,(1) VALPARAÍSO,1,578,650.70,,633,MATRICULADO,26/01/2022,26/01/2022,2022,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2666)PED.EN FÍSICA,MASCULINO,(1) VALPARAÍSO,1,542,554.30,BGU,565,MATRICULADO,27/01/2022,27/01/2022,2022,,,,,,
QUILPUÉ,MARGA MARGA,VALPARAÍSO,VALPARAÍSO,PAES,(2670)PED.EN QUÍMICA Y CIENCIAS,MASCULINO,(1) VALPARAÍSO,1,579,556.80,,545,MATRICULADO,26/01/2022,26/01/2022,2022,,,,,,
ZAPALLAR,PETORCA,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,8,591,605.10,,585,MATRICULADO,25/01/2022,25/01/2022,2022,,,,,,
LIMACHE,MARGA MARGA,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,FEMENINO,(1) VALPARAÍSO,4,494,678.50,BVG,670,MATRICULADO,25/01/2022,25/01/2022,2022,,,,,,
CURACAVÍ,MELIPILLA,METROPOLITANA,METROPOLITANA,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,6,605,619.70,BPG,600,MATRICULADO,26/01/2022,26/01/2022,2022,,,,,,
PUERTO AYSEN,AYSÉN,AYSÉN,OTRA REGIÓN,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,5,532,642.70,BGU,638,MATRICULADO,25/01/2022,25/01/2022,2022,,,,,,
VIÑA DEL MAR,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,FEMENINO,(1) VALPARAÍSO,11,463,563.50,BGU,600,MATRICULADO,25/01/2022,25/01/2022,2022,,,,,,
VIÑA DEL MAR,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,FEMENINO,(1) VALPARAÍSO,12,524,546.60,BGU,565,MATRICULADO,26/01/2022,26/01/2022,2022,,,,,,
SAN ANTONIO,SAN ANTONIO,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,FEMENINO,(1) VALPARAÍSO,17,531,482.60,BGU,523,MATRICULADO,25/01/2022,25/01/2022,2022,,,,,,
BELLOTO,MARGA MARGA,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,FEMENINO,(1) VALPARAÍSO,14,589,531.40,BGU,543,MATRICULADO,25/01/2022,25/01/2022,2022,,,,,,
LA LIGUA,PETORCA,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,2,639,714.10,BGU,645,MATRICULADO,25/01/2022,25/01/2022,2022,,,,,,
RENGO,CACHAPOAL,O´HIGGINS,O´HIGGINS,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,13,523,539.50,,558,MATRICULADO,27/01/2022,27/01/2022,2022,,,,,,
LA CALERA,QUILLOTA,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,1,615,731.80,BVG,675,MATRICULADO,27/01/2022,27/01/2022,2022,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,3,709,705.20,,605,MATRICULADO,25/01/2022,25/01/2022,2022,,,,,,
CHILLÁN,DIGUILLÍN,ÑUBLE,OTRA REGIÓN,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,FEMENINO,(1) VALPARAÍSO,16,497,494.90,,530,MATRICULADO,25/01/2022,25/01/2022,2022,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,15,517,497.60,BGU,523,MATRICULADO,25/01/2022,25/01/2022,2022,,,,,,
PUERTO AYSEN,AYSÉN,AYSÉN,OTRA REGIÓN,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,10,541,564.30,,578,MATRICULADO,25/01/2022,25/01/2022,2022,,,,,,
LLAY LLAY,SAN FELIPE,VALPARAÍSO,VALPARAÍSO,PROPEDÉUTICO(EX-ADM.INCLUS.),(2654)GEOGRAFÍA,MASCULINO,(1) VALPARAÍSO,,,,BGU,500,MATRICULADO,26/01/2022,26/01/2022,2022,,,,,,
SAN FELIPE,SAN FELIPE,VALPARAÍSO,VALPARAÍSO,PROPEDÉUTICO(EX-ADM.INCLUS.),(2673)PED.EN MATEMÁTICA VALPARAÍSO,FEMENINO,(1) VALPARAÍSO,,,,BGU,600,MATRICULADO,25/01/2022,25/01/2022,2022,,,,,,
VIÑA DEL MAR,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,ADMISIÓN ESPECIAL,(2660)PED.EN BIOLOGÍA Y CIENCIAS,FEMENINO,(1) VALPARAÍSO,,,,BGU,600,MATRICULADO,10/02/2023,10/02/2023,2023,,,,,,
QUILPUÉ,MARGA MARGA,VALPARAÍSO,VALPARAÍSO,ADMISIÓN ESPECIAL,(2666)PED.EN FÍSICA,MASCULINO,(1) VALPARAÍSO,,,,,600,MATRICULADO,18/01/2023,18/01/2023,2023,,,,,,
VILLA ALEMANA,MARGA MARGA,VALPARAÍSO,VALPARAÍSO,ADMISIÓN ESPECIAL,(2666)PED.EN FÍSICA,FEMENINO,(1) VALPARAÍSO,,,,BGU,600,REN. EXTERNA,20/01/2023,20/01/2023,2023,,,,,,
SANTIAGO,SANTIAGO,METROPOLITANA,METROPOLITANA,ADMISIÓN ESPECIAL,(2670)PED.EN QUÍMICA Y CIENCIAS,FEMENINO,(1) VALPARAÍSO,,,,BGU,500,MATRICULADO,20/01/2023,20/01/2023,2023,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,ADMISIÓN ESPECIAL,(2670)PED.EN QUÍMICA Y CIENCIAS,MASCULINO,(1) VALPARAÍSO,,,,,600,MATRICULADO,18/01/2023,18/01/2023,2023,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,ADMISIÓN ESPECIAL,(2670)PED.EN QUÍMICA Y CIENCIAS,MASCULINO,(1) VALPARAÍSO,,,,,600,MATRICULADO,19/01/2023,19/01/2023,2023,,,,,,
EL MEMBRILLO,SAN ANTONIO,VALPARAÍSO,VALPARAÍSO,ADMISIÓN ESPECIAL,(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,,,,,600,MATRICULADO,21/01/2023,21/01/2023,2023,,,,,,
NOGALES,QUILLOTA,VALPARAÍSO,VALPARAÍSO,ADMISIÓN ESPECIAL,(2673)PED.EN MATEMÁTICA VALPARAÍSO,FEMENINO,(1) VALPARAÍSO,,,,BBV,600,MATRICULADO,18/01/2023,18/01/2023,2023,,,,,,
VILLA ALEMANA,MARGA MARGA,VALPARAÍSO,VALPARAÍSO,ADMISIÓN ESPECIAL,(2673)PED.EN MATEMÁTICA VALPARAÍSO,FEMENINO,(1) VALPARAÍSO,,,,BGU,500,MATRICULADO,18/01/2023,18/01/2023,2023,,,,,,
LIMACHE,MARGA MARGA,VALPARAÍSO,VALPARAÍSO,ADMISIÓN ESPECIAL,(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,,,,,600,MATRICULADO,18/01/2023,18/01/2023,2023,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2654)GEOGRAFÍA,FEMENINO,(1) VALPARAÍSO,20,464,534.90,BGU,535,MATRICULADO,25/01/2023,25/01/2023,2023,,,,,,
VIÑA DEL MAR,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2654)GEOGRAFÍA,FEMENINO,(1) VALPARAÍSO,8,483,473.05,,515,MATRICULADO,20/01/2023,20/01/2023,2023,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2654)GEOGRAFÍA,FEMENINO,(1) VALPARAÍSO,2,641,670.10,BGU,613,MATRICULADO,19/01/2023,19/01/2023,2023,,,,,,
VIÑA DEL MAR,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2654)GEOGRAFÍA,FEMENINO,(1) VALPARAÍSO,23,477,542.55,BGU,573,MATRICULADO,26/01/2023,26/01/2023,2023,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2654)GEOGRAFÍA,MASCULINO,(1) VALPARAÍSO,1,847,698.20,,550,MATRICULADO,19/01/2023,19/01/2023,2023,,,,,,
VIÑA DEL MAR,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2654)GEOGRAFÍA,MASCULINO,(1) VALPARAÍSO,4,516,575.35,,545,MATRICULADO,19/01/2023,19/01/2023,2023,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2660)PED.EN BIOLOGÍA Y CIENCIAS,FEMENINO,(1) VALPARAÍSO,2,690,671.85,BGU,570,MATRICULADO,18/01/2023,18/01/2023,2023,,,,,,
ILLAPEL,CHOAPA,COQUIMBO,OTRA REGIÓN,PAES,(2660)PED.EN BIOLOGÍA Y CIENCIAS,FEMENINO,(1) VALPARAÍSO,8,574,530.65,,523,MATRICULADO,23/01/2023,23/01/2023,2023,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2660)PED.EN BIOLOGÍA Y CIENCIAS,FEMENINO,(1) VALPARAÍSO,20,666,640.95,,563,MATRICULADO,27/01/2023,27/01/2023,2023,,,,,,
