CIUDAD,PROVINCIA,REGIÓN,CAMPO 1,VÍA POSTU.,CARRERA,SEXO,SEDE,N° LISTA,PROMEDIOPDT,PTJE.PONDE,IND.BECA,NOTA E.M,ESTADOMATRÍCULA,FECHA  PAGO DB,FECHA MATRÍCULA,AÑO,,,,,,
PUCHUNCAVÍ,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2660)PED.EN BIOLOGÍA Y CIENCIAS,MASCULINO,(1) VALPARAÍSO,6,650,591.85,BGU,550,MATRICULADO,19/01/2023,19/01/2023,2023,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2660)PED.EN BIOLOGÍA Y CIENCIAS,MASCULINO,(1) VALPARAÍSO,16,508,627.15,,615,MATRICULADO,24/01/2023,24/01/2023,2023,,,,,,
QUILPUÉ,MARGA MARGA,VALPARAÍSO,VALPARAÍSO,PAES,(2660)PED.EN BIOLOGÍA Y CIENCIAS,FEMENINO,(1) VALPARAÍSO,7,642,568.85,BVP,533,MATRICULADO,19/01/2023,19/01/2023,2023,,,,,,
HIJUELAS,QUILLOTA,VALPARAÍSO,VALPARAÍSO,PAES,(2660)PED.EN BIOLOGÍA Y CIENCIAS,FEMENINO,(1) VALPARAÍSO,3,587,663.30,BGU,613,MATRICULADO,18/01/2023,18/01/2023,2023,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2660)PED.EN BIOLOGÍA Y CIENCIAS,MASCULINO,(1) VALPARAÍSO,22,557,561.60,BGU,555,MATRICULADO,27/01/2023,27/01/2023,2023,,,,,,
CASABLANCA,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2666)PED.EN FÍSICA,MASCULINO,(1) VALPARAÍSO,2,495,635.60,BGU,618,MATRICULADO,18/01/2023,18/01/2023,2023,,,,,,
CURACAVÍ,MELIPILLA,METROPOLITANA,METROPOLITANA,PAES,(2666)PED.EN FÍSICA,MASCULINO,(1) VALPARAÍSO,4,625,585.60,BPG,543,MATRICULADO,18/01/2023,18/01/2023,2023,,,,,,
VIÑA DEL MAR,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2666)PED.EN FÍSICA,FEMENINO,(1) VALPARAÍSO,1,694,686.60,BVP,598,MATRICULADO,18/01/2023,18/01/2023,2023,,,,,,
CHINCOLCO,PETORCA,VALPARAÍSO,VALPARAÍSO,PAES,(2670)PED.EN QUÍMICA Y CIENCIAS,MASCULINO,(1) VALPARAÍSO,2,574,761.85,BGU,665,MATRICULADO,18/01/2023,18/01/2023,2023,,,,,,
QUILLOTA,QUILLOTA,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,FEMENINO,(1) VALPARAÍSO,3,811,799.45,BPG,633,MATRICULADO,18/01/2023,18/01/2023,2023,,,,,,
QUILPUÉ,MARGA MARGA,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,FEMENINO,(1) VALPARAÍSO,10,539,587.60,BGU,580,MATRICULADO,18/01/2023,18/01/2023,2023,,,,,,
QUILPUÉ,MARGA MARGA,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,FEMENINO,(1) VALPARAÍSO,1,849,872.50,BVG,660,MATRICULADO,18/01/2023,18/01/2023,2023,,,,,,
CASABLANCA,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,FEMENINO,(1) VALPARAÍSO,11,587,587.35,,563,MATRICULADO,18/01/2023,18/01/2023,2023,,,,,,
SAN ESTEBAN,LOS ANDES,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,8,536,661.45,,640,MATRICULADO,18/01/2023,18/01/2023,2023,,,,,,
QUILLOTA,QUILLOTA,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,2,810,842.30,BVP,665,MATRICULADO,18/01/2023,18/01/2023,2023,,,,,,
QUILPUÉ,MARGA MARGA,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,FEMENINO,(1) VALPARAÍSO,14,770,727.90,,598,MATRICULADO,22/01/2023,22/01/2023,2023,,,,,,
QUILPUÉ,MARGA MARGA,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,4,730,791.05,BVP,665,MATRICULADO,18/01/2023,18/01/2023,2023,,,,,,
COPIAPÓ,COPIAPÓ,ATACAMA,OTRA REGIÓN,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,FEMENINO,(1) VALPARAÍSO,7,597,742.20,BVG,640,MATRICULADO,18/01/2023,18/01/2023,2023,,,,,,
HIJUELAS,QUILLOTA,VALPARAÍSO,VALPARAÍSO,PROPEDÉUTICO(EX-ADM.INCLUS.),(2660)PED.EN BIOLOGÍA Y CIENCIAS,FEMENINO,(1) VALPARAÍSO,,,,BGU,600,REN. EXTERNA,18/01/2023,18/01/2023,2023,,,,,,
VIÑA DEL MAR,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PROPEDÉUTICO(EX-ADM.INCLUS.),(2666)PED.EN FÍSICA,MASCULINO,(1) VALPARAÍSO,,,,BGU,500,MATRICULADO,18/01/2023,18/01/2023,2023,,,,,,
VIÑA DEL MAR,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,TRASLADOS/TRANSFERENCIAS EXT.,(2654)GEOGRAFÍA,FEMENINO,(1) VALPARAÍSO,,,,BGU,500,MATRICULADO,18/01/2023,18/01/2023,2023,,,,,,
VILLA ALEMANA,MARGA MARGA,VALPARAÍSO,VALPARAÍSO,TRASLADOS/TRANSFERENCIAS EXT.,(2660)PED.EN BIOLOGÍA Y CIENCIAS,FEMENINO,(1) VALPARAÍSO,,,,BGU,600,MATRICULADO,20/01/2023,20/01/2023,2023,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,ADMISIÓN ESPECIAL,(2660)PED.EN BIOLOGÍA Y CIENCIAS,FEMENINO,(1) VALPARAÍSO,,,,,600,MATRICULADO,18/01/2024,18/01/2024,2024,,,,,,
LA CALERA,QUILLOTA,VALPARAÍSO,VALPARAÍSO,ADMISIÓN ESPECIAL,(2673)PED.EN MATEMÁTICA VALPARAÍSO,FEMENINO,(1) VALPARAÍSO,,,,BGU,600,REN. EXTERNA,17/01/2024,17/01/2024,2024,,,,,,
SAN ANTONIO,SAN ANTONIO,VALPARAÍSO,VALPARAÍSO,ADMISIÓN ESPECIAL,(2673)PED.EN MATEMÁTICA VALPARAÍSO,FEMENINO,(1) VALPARAÍSO,,,,BGU,700,MATRICULADO,17/01/2024,17/01/2024,2024,,,,,,
VIÑA DEL MAR,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,ADMISIÓN ESPECIAL,(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,,,,BGU,500,MATRICULADO,21/01/2024,21/01/2024,2024,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2654)GEOGRAFÍA,FEMENINO,(1) VALPARAÍSO,5,467,491.80,,538,MATRICULADO,17/01/2024,17/01/2024,2024,,,,,,
QUINTERO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2654)GEOGRAFÍA,MASCULINO,(1) VALPARAÍSO,3,476,523.70,,558,MATRICULADO,18/01/2024,18/01/2024,2024,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2654)GEOGRAFÍA,FEMENINO,(1) VALPARAÍSO,1,521,688.30,PBG,645,MATRICULADO,17/01/2024,17/01/2024,2024,,,,,,
VIÑA DEL MAR,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2654)GEOGRAFÍA,FEMENINO,(1) VALPARAÍSO,2,624,603.20,,553,MATRICULADO,17/01/2024,17/01/2024,2024,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2654)GEOGRAFÍA,MASCULINO,(1) VALPARAÍSO,4,507,497.20,,515,MATRICULADO,18/01/2024,18/01/2024,2024,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2654)GEOGRAFÍA,FEMENINO,(1) VALPARAÍSO,9,580,773.45,BGU,68,MATRICULADO,24/01/2024,24/01/2024,2024,,,,,,
VIÑA DEL MAR,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2660)PED.EN BIOLOGÍA Y CIENCIAS,MASCULINO,(1) VALPARAÍSO,4,758,602.50,BGU,515,MATRICULADO,17/01/2024,17/01/2024,2024,,,,,,
VIÑA DEL MAR,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2660)PED.EN BIOLOGÍA Y CIENCIAS,MASCULINO,(1) VALPARAÍSO,14,514,430.05,BGU,48,MATRICULADO,26/01/2024,26/01/2024,2024,,,,,,
LA CALERA,QUILLOTA,VALPARAÍSO,VALPARAÍSO,PAES,(2660)PED.EN BIOLOGÍA Y CIENCIAS,FEMENINO,(1) VALPARAÍSO,9,520,636.95,BGU,613,MATRICULADO,24/01/2024,24/01/2024,2024,,,,,,
VIÑA DEL MAR,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2660)PED.EN BIOLOGÍA Y CIENCIAS,FEMENINO,(1) VALPARAÍSO,3,539,628.95,BGU,595,MATRICULADO,17/01/2024,17/01/2024,2024,,,,,,
QUILPUÉ,MARGA MARGA,VALPARAÍSO,VALPARAÍSO,PAES,(2660)PED.EN BIOLOGÍA Y CIENCIAS,MASCULINO,(1) VALPARAÍSO,6,516,558.10,BGU,555,MATRICULADO,17/01/2024,17/01/2024,2024,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2660)PED.EN BIOLOGÍA Y CIENCIAS,FEMENINO,(1) VALPARAÍSO,16,602,660.05,,61,MATRICULADO,15/03/2024,15/03/2024,2024,,,,,,
LA CALERA,QUILLOTA,VALPARAÍSO,VALPARAÍSO,PAES,(2660)PED.EN BIOLOGÍA Y CIENCIAS,FEMENINO,(1) VALPARAÍSO,8,511,556.40,BGU,563,MATRICULADO,25/01/2024,25/01/2024,2024,,,,,,
CARTAGENA,SAN ANTONIO,VALPARAÍSO,VALPARAÍSO,PAES,(2660)PED.EN BIOLOGÍA Y CIENCIAS,MASCULINO,(1) VALPARAÍSO,1,729,837.20,BVG,700,MATRICULADO,17/01/2024,17/01/2024,2024,,,,,,
PICHIDEGUA,CACHAPOAL,O´HIGGINS,O´HIGGINS,PAES,(2666)PED.EN FÍSICA,MASCULINO,(1) VALPARAÍSO,1,891,894.10,,670,MATRICULADO,19/01/2024,19/01/2024,2024,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2666)PED.EN FÍSICA,MASCULINO,(1) VALPARAÍSO,2,800,634.00,,535,MATRICULADO,17/01/2024,17/01/2024,2024,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2666)PED.EN FÍSICA,MASCULINO,(1) VALPARAÍSO,3,558,617.95,BGU,588,MATRICULADO,18/01/2024,18/01/2024,2024,,,,,,
QUILPUÉ,MARGA MARGA,VALPARAÍSO,VALPARAÍSO,PAES,(2670)PED.EN QUÍMICA Y CIENCIAS,MASCULINO,(1) VALPARAÍSO,5,736,574.50,,518,MATRICULADO,17/01/2024,17/01/2024,2024,,,,,,
VIÑA DEL MAR,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2670)PED.EN QUÍMICA Y CIENCIAS,FEMENINO,(1) VALPARAÍSO,4,551,629.60,,593,MATRICULADO,18/01/2024,18/01/2024,2024,,,,,,
QUILLOTA,QUILLOTA,VALPARAÍSO,VALPARAÍSO,PAES,(2670)PED.EN QUÍMICA Y CIENCIAS,MASCULINO,(1) VALPARAÍSO,2,697,828.80,PBG,665,MATRICULADO,17/01/2024,17/01/2024,2024,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2670)PED.EN QUÍMICA Y CIENCIAS,MASCULINO,(1) VALPARAÍSO,3,508,673.50,,615,MATRICULADO,18/01/2024,18/01/2024,2024,,,,,,
VILLA ALEMANA,MARGA MARGA,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,4,882,695.20,,565,MATRICULADO,19/01/2024,19/01/2024,2024,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,8,672,612.30,,560,MATRICULADO,17/01/2024,17/01/2024,2024,,,,,,
PALMILLA,COLCHAGUA,O´HIGGINS,O´HIGGINS,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,1,664,783.15,BGU,668,MATRICULADO,18/01/2024,18/01/2024,2024,,,,,,
LA CALERA,QUILLOTA,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,7,648,620.90,BGU,575,MATRICULADO,17/01/2024,17/01/2024,2024,,,,,,
LA CALERA,QUILLOTA,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,FEMENINO,(1) VALPARAÍSO,5,531,679.65,BGU,630,MATRICULADO,17/01/2024,17/01/2024,2024,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,FEMENINO,(1) VALPARAÍSO,3,599,741.95,BVP,670,MATRICULADO,17/01/2024,17/01/2024,2024,,,,,,
QUILPUÉ,MARGA MARGA,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,6,634,644.55,BPG,598,MATRICULADO,17/01/2024,17/01/2024,2024,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,9,663,581.70,BGU,550,MATRICULADO,17/01/2024,17/01/2024,2024,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PROPEDÉUTICO(EX-ADM.INCLUS.),(2654)GEOGRAFÍA,FEMENINO,(1) VALPARAÍSO,,,,,500,MATRICULADO,17/01/2024,17/01/2024,2024,,,,,,
VIÑA DEL MAR,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PROPEDÉUTICO(EX-ADM.INCLUS.),(2670)PED.EN QUÍMICA Y CIENCIAS,FEMENINO,(1) VALPARAÍSO,,,,,600,REN. EXTERNA,18/01/2024,18/01/2024,2024,,,,,,
LA CALERA,QUILLOTA,VALPARAÍSO,VALPARAÍSO,TRASLADOS/TRANSFERENCIAS EXT.,(2673)PED.EN MATEMÁTICA VALPARAÍSO,FEMENINO,(1) VALPARAÍSO,,,,BGU,600,MATRICULADO,23/01/2024,23/01/2024,2024,,,,,,
VIÑA DEL MAR,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,ADMISIÓN ESPECIAL,(2654)GEOGRAFÍA,FEMENINO,(1) VALPARAÍSO,,,,,600,MATRICULADO,21/01/2025,21/01/2025,2025,,,,,,
LIMACHE,MARGA MARGA,VALPARAÍSO,VALPARAÍSO,ADMISIÓN ESPECIAL,(2660)PED.EN BIOLOGÍA Y CIENCIAS,MASCULINO,(1) VALPARAÍSO,,,,,600,MATRICULADO,23/01/2025,23/01/2025,2025,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,ADMISIÓN ESPECIAL,(2660)PED.EN BIOLOGÍA Y CIENCIAS,FEMENINO,(1) VALPARAÍSO,,,,BGU,600,MATRICULADO,23/01/2025,23/01/2025,2025,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,ADMISIÓN ESPECIAL,(2660)PED.EN BIOLOGÍA Y CIENCIAS,FEMENINO,(1) VALPARAÍSO,,,,,600,REN. EXTERNA,21/01/2025,21/01/2025,2025,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,ADMISIÓN ESPECIAL,(2660)PED.EN BIOLOGÍA Y CIENCIAS,FEMENINO,(1) VALPARAÍSO,,,,,500,MATRICULADO,21/01/2025,21/01/2025,2025,,,,,,
VIÑA DEL MAR,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,ADMISIÓN ESPECIAL,(2660)PED.EN BIOLOGÍA Y CIENCIAS,MASCULINO,(1) VALPARAÍSO,,,,,600,MATRICULADO,21/01/2025,21/01/2025,2025,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,ADMISIÓN ESPECIAL,(2666)PED.EN FÍSICA,MASCULINO,(1) VALPARAÍSO,,,,,600,MATRICULADO,22/01/2025,22/01/2025,2025,,,,,,
LLAY LLAY,SAN FELIPE,VALPARAÍSO,VALPARAÍSO,ADMISIÓN ESPECIAL,(2673)PED.EN MATEMÁTICA VALPARAÍSO,FEMENINO,(1) VALPARAÍSO,,,,,600,MATRICULADO,21/01/2025,21/01/2025,2025,,,,,,
SAN ANTONIO,SAN ANTONIO,VALPARAÍSO,VALPARAÍSO,ADMISIÓN ESPECIAL,(2673)PED.EN MATEMÁTICA VALPARAÍSO,FEMENINO,(1) VALPARAÍSO,,,,BGU,600,MATRICULADO,21/01/2025,21/01/2025,2025,,,,,,
SAN ANTONIO,SAN ANTONIO,VALPARAÍSO,VALPARAÍSO,ADMISIÓN ESPECIAL,(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,,,,BGU,600,MATRICULADO,25/01/2025,25/01/2025,2025,,,,,,
SANTO DOMINGO,SAN ANTONIO,VALPARAÍSO,VALPARAÍSO,PAES,(2654)GEOGRAFÍA,MASCULINO,(1) VALPARAÍSO,6,535,558.80,BGU,558,MATRICULADO,23/01/2025,23/01/2025,2025,,,,,,
QUILPUÉ,MARGA MARGA,VALPARAÍSO,VALPARAÍSO,PAES,(2654)GEOGRAFÍA,MASCULINO,(1) VALPARAÍSO,7,605,551.60,BGU,528,MATRICULADO,22/01/2025,22/01/2025,2025,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2654)GEOGRAFÍA,MASCULINO,(1) VALPARAÍSO,5,563,587.60,,555,MATRICULADO,22/01/2025,22/01/2025,2025,,,,,,
QUILPUÉ,MARGA MARGA,VALPARAÍSO,VALPARAÍSO,PAES,(2654)GEOGRAFÍA,FEMENINO,(1) VALPARAÍSO,1,696,819.50,BEG,660,MATRICULADO,21/01/2025,21/01/2025,2025,,,,,,
CALAMA,EL LOA,ANTOFAGASTA,OTRA REGIÓN,PAES,(2654)GEOGRAFÍA,MASCULINO,(1) VALPARAÍSO,9,473,528.10,,553,MATRICULADO,21/01/2025,21/01/2025,2025,,,,,,
QUINTERO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2654)GEOGRAFÍA,FEMENINO,(1) VALPARAÍSO,8,549,539.30,,543,MATRICULADO,25/01/2025,25/01/2025,2025,,,,,,
MACHALÍ,CACHAPOAL,O´HIGGINS,O´HIGGINS,PAES,(2654)GEOGRAFÍA,FEMENINO,(1) VALPARAÍSO,4,666,607.70,BGU,538,MATRICULADO,21/01/2025,21/01/2025,2025,,,,,,
VIÑA DEL MAR,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2654)GEOGRAFÍA,MASCULINO,(1) VALPARAÍSO,3,576,660.45,BGU,615,MATRICULADO,23/01/2025,23/01/2025,2025,,,,,,
CASABLANCA,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2660)PED.EN BIOLOGÍA Y CIENCIAS,MASCULINO,(1) VALPARAÍSO,8,544,616.20,BGU,590,MATRICULADO,21/01/2025,21/01/2025,2025,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2660)PED.EN BIOLOGÍA Y CIENCIAS,FEMENINO,(1) VALPARAÍSO,3,512,664.70,BEG,637,MATRICULADO,21/01/2025,21/01/2025,2025,,,,,,
CONCON,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2660)PED.EN BIOLOGÍA Y CIENCIAS,FEMENINO,(1) VALPARAÍSO,1,519,694.90,BGU,648,MATRICULADO,21/01/2025,21/01/2025,2025,,,,,,
VILLA ALEMANA,MARGA MARGA,VALPARAÍSO,VALPARAÍSO,PAES,(2660)PED.EN BIOLOGÍA Y CIENCIAS,FEMENINO,(1) VALPARAÍSO,9,543,593.70,BGU,583,MATRICULADO,21/01/2025,21/01/2025,2025,,,,,,
CASABLANCA,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2660)PED.EN BIOLOGÍA Y CIENCIAS,FEMENINO,(1) VALPARAÍSO,12,515,493.80,BGU,535,MATRICULADO,21/01/2025,21/01/2025,2025,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2660)PED.EN BIOLOGÍA Y CIENCIAS,FEMENINO,(1) VALPARAÍSO,6,544,638.50,,605,MATRICULADO,21/01/2025,21/01/2025,2025,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2660)PED.EN BIOLOGÍA Y CIENCIAS,FEMENINO,(1) VALPARAÍSO,10,521,559.70,,573,MATRICULADO,21/01/2025,21/01/2025,2025,,,,,,
LA LIGUA,PETORCA,VALPARAÍSO,VALPARAÍSO,PAES,(2660)PED.EN BIOLOGÍA Y CIENCIAS,FEMENINO,(1) VALPARAÍSO,4,671,658.70,BVP,588,MATRICULADO,21/01/2025,21/01/2025,2025,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2666)PED.EN FÍSICA,FEMENINO,(1) VALPARAÍSO,5,629,577.10,,548,MATRICULADO,23/01/2025,23/01/2025,2025,,,,,,
LIMACHE,MARGA MARGA,VALPARAÍSO,VALPARAÍSO,PAES,(2666)PED.EN FÍSICA,FEMENINO,(1) VALPARAÍSO,3,689,737.60,,635,MATRICULADO,21/01/2025,21/01/2025,2025,,,,,,
VILLA ALEMANA,MARGA MARGA,VALPARAÍSO,VALPARAÍSO,PAES,(2666)PED.EN FÍSICA,FEMENINO,(1) VALPARAÍSO,1,638,792.95,,685,MATRICULADO,21/01/2025,21/01/2025,2025,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2666)PED.EN FÍSICA,FEMENINO,(1) VALPARAÍSO,2,684,782.85,BVP,658,MATRICULADO,21/01/2025,21/01/2025,2025,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,7,785,598.00,BPG,510,MATRICULADO,21/01/2025,21/01/2025,2025,,,,,,
VALLENAR,HUASCO,ATACAMA,OTRA REGIÓN,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,1,900,907.00,BPG,680,MATRICULADO,21/01/2025,21/01/2025,2025,,,,,,
LIMACHE,MARGA MARGA,VALPARAÍSO,VALPARAÍSO,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,4,820,693.50,,570,MATRICULADO,22/01/2025,22/01/2025,2025,,,,,,
RANCAGUA,CACHAPOAL,O´HIGGINS,O´HIGGINS,PAES,(2673)PED.EN MATEMÁTICA VALPARAÍSO,FEMENINO,(1) VALPARAÍSO,2,855,810.70,BPG,640,MATRICULADO,21/01/2025,21/01/2025,2025,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PROPEDÉUTICO(EX-ADM.INCLUS.),(2654)GEOGRAFÍA,FEMENINO,(1) VALPARAÍSO,,,,,600,MATRICULADO,22/01/2025,22/01/2025,2025,,,,,,
QUILPUÉ,MARGA MARGA,VALPARAÍSO,VALPARAÍSO,PROPEDÉUTICO(EX-ADM.INCLUS.),(2654)GEOGRAFÍA,MASCULINO,(1) VALPARAÍSO,,,,,500,MATRICULADO,21/01/2025,21/01/2025,2025,,,,,,
NOGALES,QUILLOTA,VALPARAÍSO,VALPARAÍSO,PROPEDÉUTICO(EX-ADM.INCLUS.),(2660)PED.EN BIOLOGÍA Y CIENCIAS,FEMENINO,(1) VALPARAÍSO,,,,,600,MATRICULADO,21/01/2025,21/01/2025,2025,,,,,,
VILLA ALEMANA,MARGA MARGA,VALPARAÍSO,VALPARAÍSO,PROPEDÉUTICO(EX-ADM.INCLUS.),(2660)PED.EN BIOLOGÍA Y CIENCIAS,FEMENINO,(1) VALPARAÍSO,,,,BGU,600,MATRICULADO,21/01/2025,21/01/2025,2025,,,,,,
VILLA ALEMANA,MARGA MARGA,VALPARAÍSO,VALPARAÍSO,PROPEDÉUTICO(EX-ADM.INCLUS.),(2660)PED.EN BIOLOGÍA Y CIENCIAS,FEMENINO,(1) VALPARAÍSO,,,,BGU,500,REN. EXTERNA,21/01/2025,21/01/2025,2025,,,,,,
VILLA ALEMANA,MARGA MARGA,VALPARAÍSO,VALPARAÍSO,PROPEDÉUTICO(EX-ADM.INCLUS.),(2666)PED.EN FÍSICA,MASCULINO,(1) VALPARAÍSO,,,,BGU,500,MATRICULADO,21/01/2025,21/01/2025,2025,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PROPEDÉUTICO(EX-ADM.INCLUS.),(2673)PED.EN MATEMÁTICA VALPARAÍSO,MASCULINO,(1) VALPARAÍSO,,,,BVP,600,MATRICULADO,21/01/2025,21/01/2025,2025,,,,,,
